env_package	experimental_factor	count
		22321894
host-associated		75815
human-gut		60783
water		20908
miscellaneous natural or artificial environment		16241
soil		15842
human-skin		14771
built environment		14600
human-oral		11917
		9496
human-associated		7148
sediment	gene|marine metagenome|uncultured microorganism|uncultured organism|ecotype|biological replicate|technical replicate|interspecies interaction between organisms	3917
sediment		3670
plant-associated		3616
microbial mat_biofilm		3081
wastewater_sludge		1250
	human-associated	1169
human-vaginal		1124
	human-gut	1061
	duplicate sample(s):NA	823
	non-irrigated	686
	irrigated	660
	menstrual phase	626
	follicular phase	473
air		472
	luteal phase	470
soil	diversity gradient	394
	Control	372
	disease status	331
	Radiation exposure	272
	Illumina native fastq format	262
	Impact of indomethacin on the gut microbiota	250
	experimental factor	224
	10 % Glycerol	201
	environmental stability	183
	microbiome	178
	sex,sampling site,inflammatory bowel disease,clinical treatment,population,human gut metagenome,health trait	176
	control	162
host-associated	specimen	150
	Impact of Misoprostol on the gut microbiota	132
	Impact of dietary Zn on the gut microbiota	131
	genetic variation, bacterial disease	123
host-associated	TB	119
host-associated	radiation level	112
	normal	112
	OBI_0000281	106
	Impact of Helicobacter pylori and iron diet on gastric microbiota	103
	irritable bowel syndrome	99
miscellaneous natural or artificial environment	experimental stage, pre-Bd-exposure	96
miscellaneous natural or artificial environment	experimental stage, post-Bd-exposure	96
	missing	94
	allogenic FMT	91
	Replicate 2	85
	Replicate 3	82
	Replicate 1	80
	watering	80
	temperature	79
	Stress	78
	Season	72
	OBI_0000248	71
	PD	71
	time series	70
	Warming	64
	inoculated with powdery mildew (Golovinomyces orontii)	62
	Drought	62
water	seasonal/depth	61
	Age	60
water	RNAlater	60
water	HgCl	60
water	DNAgard	60
host-associated	uninfected	59
	control;not inoculated	58
host-associated	none, natural samples	57
water	PBuffer	56
	Adding urea or not, distance from root	55
	symptomatic	53
	Solids-removed thin stillage fed, 6 d SRT, 35C, pH 5.5	52
	PAAL-SAP	52
	demultiplexed sequence data	51
	Long-term exposure experiment in a seawater flow trough system located on Helgoland run with Helgoland Roads North Sea water (Resilience of North Sea phytoplankton spring bloom dynamics: An analysis of long-term data at Helgoland Roads Wiltshire et al_2008,PANGAEA 2004 and http://www.pangaea.de).	50
	hatch_pre	49
	1 year old	48
host-associated	Uninfected	48
human-gut	FUT2	47
	Impact of dietary Mn on the gut microbiota	47
	Soil FR2	46
	wild_pre	46
	day84	45
host-associated	BMT, APC-ERT	45
	drink warm water	43
	drink cold water	39
water	Formalin	39
	genotype	38
	Refreshed starter top	38
host-associated	genotype EFO:0000513	37
	Healthy.control	37
	autologous FMT	37
	phytoplasma infection	37
	rearing growth stage	36
	Unrefreshed starter bottom	36
	Incubated under ambient light conditions	36
	harvesting growth stage	36
	10 years old	36
	larvae growth stage	36
	Case	36
	Hands	36
	night- restricted feeding	36
	daytime feeding	36
	dilbit-coating	36
	electrical conductivity	35
	gut microbiome	34
	Incubated under dim light conditions	33
	solid retention time of 6 days	32
	soil-reared MTF infected Apo	32
	HT_Female	32
	soil-reared MTF infected Sc50	32
	soil-reared MTF infected Sc10	31
	freeze-drying, storage time, storage temperature	30
	coral-colony-samp	30
	Poop-wound	30
	NonResponder.Pre.FMT	30
	soil-reared CDS infected Sc10	30
	control faeces	29
	soil-reared CDS infected Apo	29
	soil-reared MTF uninfected	29
	alga	28
	Control-wound	28
	gamma irradiation and soil powder inoculation	28
	C_Spouse	28
	Control-poop	28
	soil-reared CDS uninfected	28
	soil-reared CDS infected Sc50	27
	lime	26
	Thin stillage fed, 6 d SRT, 35C, pH 5.5	26
	NonResponder.Post.FMT	26
	ancestral	26
	Donor	25
	Alternating anaerobic and microareobic bioreactor condition	25
	Spey population (wild)	24
	Towy population (wild)	24
	no residues	24
	Nitrate	24
	TB	24
soil	salinity	24
	Tweed population (wild)	24
	not Endophyte infection	24
host-associated	TB_HRZ	24
	banana monoculture	24
	MHS population (hatchery)	24
	fallow	24
	juvenile growth stage	24
	adding banana residue	24
	adding pineapple residue	24
	Ammonium	24
	CNSS population (hatchery)	24
	HT_Male	24
	Frome population (wild)	24
	FL	24
	Endophyte infection	24
	Cynrig population (hatchery)	24
	banana-pineapple rotation	24
	control gut	23
host-associated	not provided	22
	medium	22
	TB_HRZ	22
soil	Biogeographical study	22
	Con_Female	21
	day14	21
	NCG 0.05	20
wastewater_sludge	efo:EFO_0000369, triclosan: 1 mg/L for 7 h	20
host-associated	17_wks	20
host-associated	9_wks	20
water	T0_ref	20
wastewater_sludge	efo:EFO_0000369	19
	Con_Male	19
	substrate	19
	4 COLD	18
	Soil CAM1	18
	Soil CAM2	18
	carbon dioxide	18
	Soil SEN2	18
	hatch>wild	18
	NCG 0.5	17
	Solids-removed thin stillage fed, 6 d SRT, 55C, pH 5.0	17
	Solids-removed thin stillage fed, 1 d SRT, 35C, pH 5.5	17
	IR64 cultivar within Conservation Agriculture	16
	Whitestone	16
	Wytham	16
	Zhonghua cultivar under Conservation Agriculture	16
	MD	16
