env_package	samp_collect_device	count
		22080456
host-associated		75359
human-gut		59388
water		20318
miscellaneous natural or artificial environment		16011
soil		15553
human-skin		14771
built environment		13821
human-oral		11784
	swab	11295
		8967
	not applicable	8262
	missing	7675
	Foam swab	7137
human-associated		6872
	NA	5307
	Swab	4503
sediment	multiple corer	3821
plant-associated		3623
sediment		3544
microbial mat_biofilm		3087
	Phosphate buffered saline (PBS)	2967
	Niskin bottle	2329
	multiple_corer	2296
	CTD	2211
	not collected	2062
	bucket	2013
	Falcon Tube	1583
	Niskin Bottle	1580
	syringe	1565
	auger	1521
	sterilized scissor and plastic bag	1316
	Fresh frozen or Epicentre Catch All Collection Swabs	1302
	OMNIgene-GUT	1291
wastewater_sludge		1283
	rRNA16S Illumina MiSeq	1272
	NOT APPLICABLE	1249
	stomach tube	1181
	self-swab	1169
	Shovel	1165
human-vaginal		1124
	criotubes	1124
	rectal swab	1085
	biopsy	1071
	flocculated swab	1069
	Ticks were collected by dragging using a 1 m2 cloth and stored in 70% ethanol.	1066
	self-sample	1061
	Dry, Dacron Swab	1041
	Ruttner water sampler	1020
	corer	993
	micropipet	988
human-gut	Omnigene OMR-200 tube	978
	underway	975
	Cotton Tipped Swab	968
	Sterile 4 oz. scoop	944
	plastic core 5 mm diameter x 25 mm depth	904
	Transplanting shovel, scissors	879
	Auger	877
	push core	845
	Water sampling for eDNA	840
	Soil corer	836
	SASS air sampler	831
	trowel	828
	Illumina MiSeq	822
	Fresh feces in 1 mL RNA later (Thermofisher Scientific, Massachusetts, USA)	817
	self-collected at home	796
built environment	Vacuuming floor dust into sieve	776
	Cervicovaginal lavage	759
	0.2 um filter	755
	Manual expression	738
	Van Veen grab	730
	Soil core	727
	0.75-in soil core to 10 cm depth	708
	DNA/RNA Shield Fecal Collection Tube	698
	Piston core	697
	core	689
	anoxic sampling of sediment slurry incubations	676
	Stomach tube	667
	shovel	651
	FLOQSwabs	629
	OMNIgene Gut	629
	oral swabs	628
	stool container	616
	ROV	611
	Brush	574
	soil corer	563
	aluminum soil core	561
	toilet hat	557
	dissection	555
	cotton swab	544
	['Collected by dipping a 2L amber bottle below the water surface near the lake outlet, and filtering onto a 0.22 micron pore size Sterivex filter (Millipore)', '']	543
	soil core sampler with diameter 1.5 cm	540
	CTD Rosette	530
	ROV ROPOS	528
	Acryllic core, .308m length .1016 diameter	525
	OC FIT CHEK cartridge	525
	Coughing	525
	soil probe	514
	core sampler	514
	Sterile swab	513
	['Collected with Van Dorn bottle and filtered onto a 0.22 micron pore size Sterivex filter (Millipore)', '']	510
	pitfall trap	506
	oesophagical tube	504
	manual	504
	multicorer	503
	sterile whirlpak	502
	3G-ESP	487
	Bronchoscopy	486
	Cotton swab	486
	Bronchoscope	485
	sterile rayon swab	473
	CTD rosette	472
air		472
	cervical swab	472
	self-collection in plastic containers	468
	SalivaGene Collector	466
	Extracted from combs	463
	electrical driller	462
	Stool hat or BD BBL Culture Swab	457
	Metal core, 5.5 cm i.d., variable depth up to 13.5 cm	455
	soil core	454
	Narishige micromanipulator, inverted Olympus IX71 microscope	451
	field sampling	436
	centrigation	434
	microcosm	433
	Push Core	431
	trap	428
	SCUBA	425
	sterile_dry_tube	422
	1-inch diameter soil probe	420
	"collected in the shape of ""S"" with a soil drill"	413
	Sediment corer	412
	endodontic paper-points	411
	pump	405
	Filtration of water sample	403
	2500	396
soil	metal soil corer of 6 cm diameter and 10 cm height	394
	16S	387
	MW100 dryswab	387
	Seabird CTD	387
	500 um net	382
	collected with 2 mL tube manually	381
	extracted off of rock	379
	nasopharyngeal swab	378
host-associated	Unfractionated FACS sample	378
host-associated	FACS sample with high IgA binding	378
	Fresh faeces in tubes	378
host-associated	FACS sample with low IgA binding	378
	sample collected from faecal matter voided by horses	377
	5L Niskin bottle	375
	Tube	373
	Falcon Tubes 50ml	373
	sterile tub	372
	BAL	370
	unsorted	366
	FACS_IgA-positive	365
	FACS_IgA-negative	365
	Medical tubes for fecal collection	362
	soil core sampler	361
	Cruising Speed plankton net	360
	nasal blow	360
	Fresh feces in tubes	360
	Scissors, envelope, plastic bag and bucket ice	359
	sterivex filter	357
	Soil drilling machine	354
	shears	350
	1.5 mL tube	347
	CTD Rosette sampling	344
	soil auger	342
water	CTD Rosette/Niskin bottle	342
	Soil sampler	341
	Hand-collected	337
	Dissection	333
	bronchoscope	332
	bottle	331
	grab	331
	filter	328
	SASS 3100 electret filter air sampler	328
	hand-held metal corer of 4.4 cm diameter x 10 cm length	324
	Gravity corer (GC) was deployed shipboard to collect sediment from the environment.	318
	piezometer	318
	['Collected by dipping a 2L amber bottle below the stream surface being careful not to disturb sediments or biofilms, and filtering onto a 0.22 micron pore size Sterivex filter (Millipore)', '']	316
	niskin	316
	brown bottle	315
	MOCNESS	312
	sealing bag	309
	1 ml	302
	medical swab	301
	Vacuum cleaner	300
	Sterilized tubes	300
	2.5 cm diameter soil corer	299
	MED AUXIL stool collector set	297
	Fisherbrand Commode Specimen Collection System	293
	stomach tubing	293
	culture swab	292
	anoxic sampling of sediment slurry incubations at defined time points	288
	swabs (Sarstedt, PS/Viscose)	287
	baermann	284
	Qiagen Plant Dneasy Kit	284
	direct	283
	sterile Gosselin™ HDPE plastic bottle	282
	PowerFecal DNA Isolation Kit	281
	Not applicable	281
	cryogenic tube	277
	tape	277
human-associated	self-swab	276
	Hotdog Rinsate	276
	Illumina MiSeq v2 2x250bp	276
	Sterile Swabs and eppendorf tubes	276
	Rosette, Niskin	271
	MiSeq	270
	Biopsy	267
	sediment collection	265
	Syringe	265
	filtration	264
	swabbing	264
	soil cores (0 - 15 cm dpeth)	263
	Sterilized stick	260
	gravity core	257
	sterile bottle	257
	Copan flocked swab	253
	Coban Eswab	253
	FACS	252
	WP2_90um	251
	glass marbles	250
	Whatman GF/F 0.70 glass fiber filter and Qiagen DNeasy Blood & Tissue kit	248
	Sterile spatula	248
	SASS 3100 electeret filter air sample	246
	stool collection	244
	eppendorf tube	241
	sterile universal curettes and Gracey curettes	241
	caudal fin clip	240
	Electrostatic dust collector	240
	peristaltic pump	238
	Niskin bottles	235
	16S ribosomal RNA_V4	235
	"""e;N/A"""	234
	Geoprobe 540MT	234
	probe	234
	120 cm long 3 cm diameter soil corer	233
	soil cores 4.5cm diameter	232
	flagging	232
	Falcon tube	230
	conjunctival swabs	230
soil	push core	229
	Spore traps	229
	Sterile EP tube	225
	Trowel	221
	plastic tarp	221
	soil auger, 1 inch diam	220
	DNA extraction kit	220
